,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,98.05173,94.37169,96.21171
,,19.991,98.02332,94.42695,96.22513
,,19.980,97.98594,94.49949,96.24271
,,19.969,97.94914,94.57073,96.25994
Product Raw Data,,19.961,97.92191,94.62332,96.27262
Reflectance of Optics with Protected Aluminum Coating,,19.950,97.88609,94.69233,96.28921
,,19.939,97.85084,94.76008,96.30546
Item #,Ending in -G01,19.931,97.82476,94.81006,96.31741
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,97.79048,94.87562,96.33305
,,19.910,97.75674,94.93994,96.34834
,,19.899,97.72354,95.00304,96.36329
,,19.891,97.699,95.04956,96.37428
,,19.880,97.66675,95.11053,96.38864
,,19.869,97.63503,95.1703,96.40267
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,97.61159,95.21435,96.41297
,,19.850,97.58079,95.27205,96.42642
,,19.839,97.55052,95.32857,96.43955
Additional Information:,,19.831,97.52815,95.37021,96.44918
"The coating's reflectance was measured as a function of polarization at a 12° AOI. For measurements at a 45° AOI, please see the other tab below.",,19.820,97.49878,95.4247,96.46174
,,19.810,97.46992,95.47805,96.47398
,,19.799,97.44156,95.53027,96.48591
,,19.791,97.42063,95.56869,96.49466
,,19.780,97.39315,95.61894,96.50604
,,19.769,97.36617,95.66807,96.51712
,,19.761,97.34625,95.7042,96.52523
,,19.750,97.32013,95.75142,96.53578
,,19.739,97.29449,95.79755,96.54602
,,19.731,97.27558,95.83145,96.55351
,,19.720,97.25078,95.8757,96.56324
,,19.710,97.22646,95.9189,96.57268
,,19.701,97.20853,95.95061,96.57957
,,19.691,97.18502,95.99197,96.5885
,,19.680,97.16199,96.0323,96.59714
,,19.669,97.13941,96.07161,96.60551
,,19.661,97.12278,96.10042,96.6116
,,19.650,97.101,96.13795,96.61947
,,19.639,97.07967,96.17448,96.62707
,,19.631,97.06396,96.20123,96.6326
,,19.620,97.04341,96.23603,96.63972
,,19.610,97.0233,96.26986,96.64658
,,19.601,97.0085,96.29459,96.65155
,,19.591,96.98915,96.32673,96.65794
,,19.580,96.97023,96.35791,96.66407
,,19.569,96.95174,96.38815,96.66995
