,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,96.12894,97.25395,96.69144
,,19.991,96.14311,97.24623,96.69467
,,19.980,96.16169,97.23615,96.69892
,,19.969,96.17991,97.22632,96.70312
Product Raw Data,,19.961,96.19334,97.2191,96.70622
Reflectance of Optics with Protected Gold Coating,,19.950,96.21094,97.20968,96.71031
,,19.939,96.22819,97.2005,96.71435
Item #,Ending in -M01,19.931,96.2409,97.19377,96.71733
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,96.25754,97.185,96.72127
,,19.910,96.27384,97.17646,96.72515
,,19.899,96.2898,97.16814,96.72897
,,19.891,96.30155,97.16206,96.7318
,,19.880,96.31692,97.15415,96.73553
,,19.869,96.33195,97.14645,96.7392
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,96.34301,97.14083,96.74192
,,19.850,96.35748,97.13353,96.7455
,,19.839,96.37161,97.12645,96.74903
Additional Information:,,19.831,96.382,97.12128,96.75164
"The coating's reflectance was measured as a function of polarization at a 12° AOI. For measurements at a 45° AOI, please see the other tab below.",,19.820,96.39558,97.11457,96.75507
,,19.810,96.40884,97.10808,96.75846
,,19.799,96.42178,97.1018,96.76179
,,19.791,96.43128,97.09723,96.76426
,,19.780,96.44368,97.09132,96.7675
,,19.769,96.45577,97.08562,96.77069
,,19.761,96.46464,97.08147,96.77306
,,19.750,96.4762,97.07613,96.77616
,,19.739,96.48746,97.07098,96.77922
,,19.731,96.49571,97.06726,96.78149
,,19.720,96.50646,97.06247,96.78446
,,19.710,96.5169,97.05787,96.78739
,,19.701,96.52455,97.05455,96.78955
,,19.691,96.53449,97.0503,96.7924
,,19.680,96.54415,97.04624,96.7952
,,19.669,96.55353,97.04237,96.79795
,,19.661,96.56037,97.03959,96.79998
,,19.650,96.56926,97.03605,96.80266
,,19.639,96.57787,97.0327,96.80529
,,19.631,96.58415,97.03031,96.80723
,,19.620,96.59228,97.02728,96.80978
,,19.610,96.60014,97.02443,96.81229
,,19.601,96.60587,97.02241,96.81414
,,19.591,96.61327,97.01988,96.81657
,,19.580,96.6204,97.01752,96.81896
,,19.569,96.62728,97.01534,96.82131
,,19.561,96.63227,97.01382,96.82305
,,19.550,96.6387,97.01195,96.82532
,,19.539,96.64487,97.01024,96.82756
,,19.531,96.64934,97.00907,96.82921
,,19.520,96.65508,97.00766,96.83137
,,19.509,96.66057,97.00642,96.83349
,,19.501,96.66453,97.0056,96.83506
,,19.490,96.66959,97.00464,96.83712
,,19.480,96.67442,97.00385,96.83913
,,19.471,96.67788,97.00336,96.84062
,,19.461,96.68229,97.00285,96.84257
,,19.450,96.68647,97.0025,96.84448
,,19.439,96.69041,97.0023,96.84636
,,19.431,96.69322,97.00226,96.84774
,,19.420,96.69677,97.00233,96.84955
,,19.409,96.70009,97.00256,96.85132
,,19.401,96.70244,97.00283,96.85263
,,19.390,96.70537,97.00331,96.85434
,,19.379,96.70809,97.00395,96.85602
,,19.371,96.70998,97.00453,96.85725
,,19.360,96.71232,97.00542,96.85887
,,19.350,96.71445,97.00646,96.86045
,,19.341,96.7159,97.00733,96.86162
,,19.331,96.71766,97.00862,96.86314
,,19.320,96.71921,97.01004,96.86463
,,19.312,96.72024,97.0112,96.86572
,,19.301,96.72144,97.01287,96.86715
,,19.290,96.72243,97.01468,96.86855
,,19.279,96.72323,97.01662,96.86992
,,19.271,96.7237,97.01816,96.87093
,,19.260,96.72415,97.02033,96.87224
,,19.249,96.72441,97.02263,96.87352
,,19.241,96.72448,97.02444,96.87446
,,19.230,96.72441,97.02697,96.87569
,,19.220,96.72416,97.02962,96.87689
,,19.211,96.72384,97.0317,96.87777
,,19.201,96.72326,97.03457,96.87892
,,19.190,96.7225,97.03756,96.88003
,,19.182,96.72182,97.03989,96.88085
,,19.171,96.72074,97.0431,96.88192
,,19.160,96.7195,97.04642,96.88296
,,19.149,96.71807,97.04987,96.88397
,,19.141,96.71689,97.05253,96.88471
,,19.130,96.71517,97.05618,96.88568
,,19.119,96.71329,97.05994,96.88661
,,19.111,96.71176,97.06283,96.8873
,,19.100,96.70958,97.06679,96.88819
,,19.090,96.70724,97.07086,96.88905
,,19.081,96.70538,97.07398,96.88968
,,19.071,96.70276,97.07824,96.8905
,,19.060,96.69998,97.08261,96.8913
,,19.052,96.6978,97.08595,96.89187
,,19.041,96.69475,97.0905,96.89262
,,19.030,96.69155,97.09516,96.89335
,,19.022,96.68905,97.09871,96.89388
,,19.011,96.68558,97.10355,96.89456
,,19.000,96.68197,97.10848,96.89522
,,18.989,96.67822,97.11351,96.89586
,,18.981,96.67531,97.11734,96.89633
,,18.970,96.6713,97.12254,96.89692
,,18.959,96.66716,97.12784,96.8975
,,18.951,96.66396,97.13187,96.89791
,,18.940,96.65958,97.13733,96.89845
,,18.930,96.65505,97.14288,96.89897
,,18.921,96.65158,97.1471,96.89934
,,18.911,96.64682,97.15281,96.89982
,,18.900,96.64194,97.1586,96.90027
,,18.892,96.6382,97.16301,96.9006
