,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,95.15286,97.95569,96.55428
,,19.991,95.17599,97.93899,96.55749
,,19.980,95.20636,97.91705,96.56171
,,19.969,95.23623,97.8955,96.56586
Product Raw Data,,19.961,95.2583,97.87959,96.56894
Reflectance of Optics with Protected Silver Coating,,19.950,95.28728,97.85871,96.573
,,19.939,95.31577,97.83821,96.57699
Item #,Ending in -P01,19.931,95.3368,97.82308,96.57994
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,95.36442,97.80324,96.58383
,,19.910,95.39155,97.78377,96.58766
,,19.899,95.4182,97.76467,96.59143
,,19.891,95.43786,97.75058,96.59422
,,19.880,95.46367,97.73212,96.59789
,,19.869,95.489,97.71401,96.6015
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,95.50768,97.70067,96.60418
,,19.850,95.53219,97.68319,96.60769
,,19.839,95.55623,97.66607,96.61115
Additional Information:,,19.831,95.57396,97.65345,96.61371
"The coating's reflectance was measured as a function of polarization at a 12° AOI. For measurements at a 45° AOI, please see the other tab below.",,19.820,95.5972,97.63694,96.61707
,,19.810,95.61998,97.62077,96.62037
,,19.799,95.64231,97.60494,96.62363
,,19.791,95.65877,97.59329,96.62603
,,19.780,95.68032,97.57806,96.62919
,,19.769,95.70143,97.56316,96.63229
,,19.761,95.71698,97.5522,96.63459
,,19.750,95.73732,97.53788,96.6376
,,19.739,95.75724,97.52389,96.64057
,,19.731,95.7719,97.51361,96.64275
,,19.720,95.79107,97.50018,96.64563
,,19.710,95.80982,97.48708,96.64845
,,19.701,95.8236,97.47746,96.65053
,,19.691,95.84162,97.46491,96.65327
,,19.680,95.85923,97.45267,96.65595
,,19.669,95.87643,97.44074,96.65859
,,19.661,95.88907,97.432,96.66053
,,19.650,95.90556,97.42061,96.66308
,,19.639,95.92165,97.40952,96.66559
,,19.631,95.93346,97.4014,96.66743
,,19.620,95.94887,97.39084,96.66985
,,19.610,95.96388,97.38058,96.67223
,,19.601,95.97489,97.37307,96.67398
,,19.591,95.98923,97.36331,96.67627
,,19.580,96.00319,97.35385,96.67852
,,19.569,96.01677,97.34467,96.68072
,,19.561,96.02672,97.33797,96.68235
,,19.550,96.03965,97.32929,96.68447
,,19.539,96.05221,97.32089,96.68655
,,19.531,96.06139,97.31477,96.68808
,,19.520,96.07332,97.30685,96.69009
,,19.509,96.08489,97.29921,96.69205
,,19.501,96.09333,97.29365,96.69349
,,19.490,96.10428,97.28648,96.69538
,,19.480,96.11487,97.27957,96.69722
,,19.471,96.12259,97.27457,96.69858
,,19.461,96.13259,97.26812,96.70035
,,19.450,96.14224,97.26193,96.70208
,,19.439,96.15155,97.25601,96.70378
,,19.431,96.15831,97.25173,96.70502
,,19.420,96.16704,97.24624,96.70664
,,19.409,96.17543,97.24101,96.70822
,,19.401,96.18151,97.23725,96.70938
,,19.390,96.18934,97.23245,96.7109
,,19.379,96.19684,97.2279,96.71237
,,19.371,96.20226,97.22464,96.71345
,,19.360,96.20921,97.22051,96.71486
,,19.350,96.21585,97.21662,96.71623
,,19.341,96.22062,97.21386,96.71724
,,19.331,96.22672,97.21037,96.71855
,,19.320,96.23251,97.20713,96.71982
,,19.312,96.23665,97.20484,96.72075
,,19.301,96.24192,97.20199,96.72195
,,19.290,96.24688,97.19937,96.72313
,,19.279,96.25155,97.19697,96.72426
,,19.271,96.25487,97.19532,96.72509
,,19.260,96.25903,97.19331,96.72617
,,19.249,96.26291,97.19152,96.72721
,,19.241,96.26563,97.19031,96.72797
,,19.230,96.26902,97.1889,96.72896
,,19.220,96.27213,97.18769,96.72991
,,19.211,96.27427,97.18692,96.7306
,,19.201,96.2769,97.18608,96.73149
,,19.190,96.27926,97.18545,96.73235
