,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,0.500,60.611843,37.504084,49.0579635
,,0.501,61.32251,38.420242,49.871376
,,0.502,62.124897,39.360903,50.7429
,,0.503,62.905174,40.333718,51.619446
Product Raw Data,,0.504,63.684292,41.333396,52.508844
Reflectance of Optics with Unprotected Gold Coating,,0.505,64.44902,42.352805,53.4009125
,,0.506,65.239731,43.366777,54.303254
Item #,Ending in -M03,0.507,66.015717,44.415139,55.215428
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,0.508,66.78878,45.428669,56.1087245
,,0.509,67.567146,46.489243,57.0281945
,,0.510,68.336746,47.506925,57.9218355
,,0.511,69.075829,48.557806,58.8168175
,,0.512,69.824326,49.611146,59.717736
,,0.513,70.556534,50.62245,60.589492
"This data may be used in publications. However, please cite Thorlabs as the source.",,0.514,71.29657,51.632661,61.4646155
,,0.515,71.977005,52.646058,62.3115315
,,0.516,72.674591,53.614835,63.144713
Additional Information:,,0.517,73.331139,54.580202,63.9556705
The coating's reflectance was measured at a 45° AOI.,,0.518,73.959412,55.546239,64.7528255
,,0.519,74.552757,56.443464,65.4981105
,,0.520,75.204803,57.37825,66.2915265
,,0.521,75.785034,58.26531,67.025172
,,0.522,76.346481,59.13359,67.7400355
,,0.523,76.925858,59.969911,68.4478845
,,0.524,77.443512,60.810936,69.127224
,,0.525,77.969627,61.629276,69.7994515
,,0.526,78.499603,62.420669,70.460136
,,0.527,78.941032,63.179673,71.0603525
,,0.528,79.446877,63.946387,71.696632
,,0.529,79.905724,64.665832,72.285778
,,0.530,80.371002,65.391694,72.881348
,,0.531,80.799919,66.090345,73.445132
,,0.532,81.196106,66.750173,73.9731395
,,0.533,81.623146,67.429242,74.526194
,,0.534,82.010338,68.05383,75.032084
,,0.535,82.405922,68.689744,75.547833
,,0.536,82.773041,69.309804,76.0414225
,,0.537,83.138481,69.904199,76.52134
,,0.538,83.480682,70.471917,76.9762995
,,0.539,83.824867,71.036758,77.4308125
,,0.540,84.167374,71.574398,77.870886
,,0.541,84.468605,72.121947,78.295276
,,0.542,84.806465,72.624941,78.715703
,,0.543,85.055061,73.144382,79.0997215
,,0.544,85.364494,73.654324,79.509409
,,0.545,85.665665,74.128967,79.897316
,,0.546,85.909042,74.592254,80.250648
,,0.547,86.172905,75.064628,80.6187665
,,0.548,86.466522,75.495126,80.980824
,,0.549,86.73848,75.942376,81.340428
,,0.550,86.954102,76.36795,81.661026
,,0.551,87.166039,76.792466,81.9792525
,,0.552,87.427994,77.180966,82.30448
,,0.553,87.644615,77.573188,82.6089015
,,0.554,87.900192,77.962586,82.931389
,,0.555,88.097176,78.331252,83.214214
,,0.556,88.312134,78.707057,83.5095955
,,0.557,88.501343,79.06617,83.7837565
,,0.558,88.701973,79.395525,84.048749
,,0.559,88.885811,79.739348,84.3125795
,,0.560,89.077339,80.069707,84.573523
,,0.561,89.257126,80.400698,84.828912
,,0.562,89.446709,80.704974,85.0758415
,,0.563,89.617943,81.008747,85.313345
,,0.564,89.805832,81.314332,85.560082
,,0.565,89.946159,81.613265,85.779712
,,0.566,90.104965,81.891747,85.998356
